side,hex1,hex2,p,q,h,v,az_deg_left_positive,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source,n_fit,zhao_right_lens_row,zhao_p,zhao_q,col_type,col_type_basis,marker_evidence,R7R8_bodyIds,reiser_OL_v1_column_type,pin_distal_x,pin_distal_y,pin_distal_z,pin_proximal_x,pin_proximal_y,pin_proximal_z,pin_dir_az_left_deg,pin_dir_el_deg,lamina_centroid_x,lamina_centroid_y,lamina_centroid_z
L,1,7,-12,-17,-6,-29,103.01,103.01,-75.15,-0.05771,0.24978,-0.96658,extrapolated_local_linear,13,-1,,,unclear,,{},R7_unclear:209937;R8_unclear:213652,,71794.0,47205.0,29314.0,67531.0,43074.0,33145.0,48.1,-35.8,,,
L,1,8,-11,-17,-7,-28,110.7,110.7,-71.09,-0.11458,0.30318,-0.94602,extrapolated_local_linear,13,-1,,,unclear,,{},,,71546.0,46592.0,28488.0,67284.0,42582.0,32561.0,46.3,-34.2,,,
L,1,10,-9,-17,-9,-26,121.41,121.41,-63.91,-0.22916,0.37529,-0.89813,extrapolated_local_linear,13,-1,,,unclear,,{},,,71276.0,45720.0,27675.0,67266.0,41888.0,32275.0,41.1,-32.1,,,
L,2,6,-13,-16,-4,-29,80.04,80.04,-76.78,0.03956,0.2252,-0.97351,extrapolated_local_linear,18,-1,,,unclear,,{},,,72498.0,48243.0,30905.0,68127.0,44046.0,34716.0,48.9,-35.9,,,
L,2,7,-12,-16,-5,-28,86.8,86.8,-72.69,0.0166,0.297,-0.95473,zhao_uCT_match,1,50,-13.0,-17.0,unclear,,{},,,72489.0,47841.0,29886.0,68207.0,43702.0,33731.0,48.1,-35.7,,,
L,2,8,-11,-16,-6,-27,98.64,98.64,-68.67,-0.05467,0.35959,-0.93151,zhao_uCT_match,1,66,-12.0,-17.0,pale,R7,"{""R7p"": 1, ""R8p"": 1}",R7p:197732;R8p:198333,,72586.0,47219.0,28758.0,68314.0,43160.0,32935.0,45.6,-34.2,,,
L,2,9,-10,-16,-7,-26,105.31,105.31,-65.33,-0.1102,0.40259,-0.90872,zhao_uCT_match,1,82,-11.0,-17.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1}",R8y:246903;R7y:218896,,72351.0,46626.0,27982.0,68139.0,42681.0,32422.0,43.5,-32.8,,,
L,2,10,-9,-16,-8,-25,109.74,109.74,-61.77,-0.15979,0.44518,-0.88107,zhao_uCT_match,1,100,-10.0,-17.0,unclear,,{},R7_unclear:252506;R8_unclear:250789,,72159.0,45865.0,27276.0,68049.0,42092.0,32010.0,41.0,-31.0,,,
L,2,11,-8,-16,-9,-24,118.73,118.73,-58.9,-0.24825,0.45291,-0.85629,extrapolated_local_linear,20,-1,,,unclear,,{},R7_unclear:218515;R8_unclear:200852,,71577.0,45034.0,26769.0,67667.0,41495.0,31639.0,38.8,-29.5,,,
L,2,12,-7,-16,-10,-23,124.66,124.66,-55.52,-0.32198,0.4657,-0.82429,extrapolated_local_linear,18,-1,,,unclear,,{},,,71436.0,44304.0,26297.0,67604.0,40885.0,31289.0,37.5,-28.5,,,
L,2,13,-6,-16,-11,-22,129.45,129.45,-51.69,-0.39394,0.47872,-0.78463,extrapolated_local_linear,16,-1,,,yellow,R8,"{""R8y"": 1}",R8y:251184,,71935.0,43864.0,25738.0,68117.0,40512.0,31022.0,35.9,-27.2,,,
L,3,5,-14,-15,-2,-29,50.02,50.02,-75.79,0.15775,0.18816,-0.96939,zhao_uCT_match,1,22,-15.0,-16.0,unclear,,{},R7_unclear:224866;R8_unclear:251029,,73248.0,48627.0,31237.0,68706.0,44325.0,34856.0,51.5,-36.5,,,
L,3,6,-13,-15,-3,-28,71.95,71.95,-73.99,0.08548,0.26226,-0.96121,zhao_uCT_match,1,33,-14.0,-16.0,unclear,,{},R7_unclear:208965;R8_unclear:229321,,73396.0,48287.0,30224.0,68866.0,44062.0,34041.0,49.9,-35.5,,,
L,3,7,-12,-15,-4,-27,79.03,79.03,-69.86,0.06552,0.33802,-0.93885,zhao_uCT_match,1,45,-13.0,-16.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:212396;R7y:198526,,73264.0,47829.0,29450.0,68804.0,43680.0,33492.0,47.8,-34.6,,,
L,3,8,-11,-15,-5,-26,89.41,89.41,-66.09,0.00415,0.40531,-0.91417,zhao_uCT_match,1,62,-12.0,-16.0,unclear,,{},R7_unclear:201940;R8_unclear:214551,,73430.0,47348.0,28616.0,69148.0,43239.0,32907.0,44.9,-34.1,,,
L,3,9,-10,-15,-6,-25,97.49,97.49,-62.49,-0.06021,0.45802,-0.8869,zhao_uCT_match,1,77,-11.0,-16.0,unclear,,{},R7_unclear:902740;R8_unclear:200367,,73252.0,46791.0,27936.0,68989.0,42844.0,32511.0,43.0,-32.3,,,
L,3,10,-9,-15,-7,-24,103.49,103.49,-59.11,-0.11974,0.49916,-0.8582,zhao_uCT_match,1,94,-10.0,-16.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R7p:255164;R8p:195034,,73131.0,46203.0,27288.0,68919.0,42393.0,32032.0,41.6,-31.0,,,
L,3,11,-8,-15,-8,-23,109.5,109.5,-56.38,-0.18481,0.52197,-0.8327,zhao_uCT_match,1,113,-9.0,-16.0,yellow?,Dm8a/Tm5a home,"{""Dm8a"": 1, ""Tm5a"": 1}",R7_unclear:204411;R8_unclear:537449,,72920.0,45544.0,26686.0,68810.0,41970.0,31679.0,39.5,-28.9,,,
L,3,12,-7,-15,-9,-22,114.55,114.55,-55.07,-0.23788,0.52078,-0.81988,zhao_uCT_match,1,128,-8.0,-16.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:940773;R7y:174491,,72661.0,44879.0,26250.0,68760.0,41441.0,31458.0,36.8,-27.8,,,
L,3,13,-6,-15,-10,-21,120.54,120.54,-50.24,-0.32496,0.55083,-0.76876,zhao_uCT_match,1,147,-7.0,-16.0,yellow,R7,"{""R7y"": 1}",R7y:523007,,72477.0,44287.0,25817.0,68652.0,40995.0,31158.0,35.6,-26.6,,,
L,3,14,-5,-15,-11,-20,124.02,124.02,-46.24,-0.38691,0.57323,-0.72229,zhao_uCT_match,1,169,-6.0,-16.0,unclear,,{},,,72156.0,43539.0,25498.0,68477.0,40315.0,30870.0,34.4,-26.3,,,
L,3,15,-4,-15,-12,-19,130.6,130.6,-44.44,-0.46471,0.54211,-0.70012,extrapolated_local_linear,19,-1,,,unclear,,{},,,72001.0,42744.0,25125.0,68461.0,39734.0,30716.0,32.3,-24.5,,,
L,4,3,-16,-14,1,-30,13.67,13.67,-74.62,0.25772,0.06267,-0.96419,extrapolated_local_linear,17,-1,,,unclear,,{},,,74484.0,49362.0,32992.0,69718.0,45002.0,36207.0,56.0,-37.2,,,
