side,hex1,hex2,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source
L,1,7,103.01,-75.15,-0.05771,0.24978,-0.96658,extrapolated_local_linear
L,1,8,110.7,-71.09,-0.11458,0.30318,-0.94602,extrapolated_local_linear
L,1,10,121.41,-63.91,-0.22916,0.37529,-0.89813,extrapolated_local_linear
L,2,6,80.04,-76.78,0.03956,0.2252,-0.97351,extrapolated_local_linear
L,2,7,86.8,-72.69,0.0166,0.297,-0.95473,zhao_uCT_match
L,2,8,98.64,-68.67,-0.05467,0.35959,-0.93151,zhao_uCT_match
L,2,9,105.31,-65.33,-0.1102,0.40259,-0.90872,zhao_uCT_match
L,2,10,109.74,-61.77,-0.15979,0.44518,-0.88107,zhao_uCT_match
L,2,11,118.73,-58.9,-0.24825,0.45291,-0.85629,extrapolated_local_linear
L,2,12,124.66,-55.52,-0.32198,0.4657,-0.82429,extrapolated_local_linear
L,2,13,129.45,-51.69,-0.39394,0.47872,-0.78463,extrapolated_local_linear
L,3,5,50.02,-75.79,0.15775,0.18816,-0.96939,zhao_uCT_match
L,3,6,71.95,-73.99,0.08548,0.26226,-0.96121,zhao_uCT_match
L,3,7,79.03,-69.86,0.06552,0.33802,-0.93885,zhao_uCT_match
L,3,8,89.41,-66.09,0.00415,0.40531,-0.91417,zhao_uCT_match
L,3,9,97.49,-62.49,-0.06021,0.45802,-0.8869,zhao_uCT_match
L,3,10,103.49,-59.11,-0.11974,0.49916,-0.8582,zhao_uCT_match
L,3,11,109.5,-56.38,-0.18481,0.52197,-0.8327,zhao_uCT_match
L,3,12,114.55,-55.07,-0.23788,0.52078,-0.81988,zhao_uCT_match
L,3,13,120.54,-50.24,-0.32496,0.55083,-0.76876,zhao_uCT_match
L,3,14,124.02,-46.24,-0.38691,0.57323,-0.72229,zhao_uCT_match
L,3,15,130.6,-44.44,-0.46471,0.54211,-0.70012,extrapolated_local_linear
L,4,3,13.67,-74.62,0.25772,0.06267,-0.96419,extrapolated_local_linear
L,4,4,33.82,-73.25,0.23937,0.16037,-0.95759,zhao_uCT_match
L,4,5,46.27,-70.33,0.23274,0.24328,-0.94162,zhao_uCT_match
L,4,6,59.04,-69.39,0.18111,0.30188,-0.93598,zhao_uCT_match
L,4,7,70.87,-66.58,0.13023,0.37551,-0.91762,zhao_uCT_match
L,4,8,79.91,-63.11,0.07923,0.44525,-0.8919,zhao_uCT_match
L,4,9,88.19,-59.71,0.01593,0.50409,-0.86351,zhao_uCT_match
L,4,10,94.8,-56.08,-0.04674,0.55609,-0.82981,zhao_uCT_match
L,4,11,100.5,-53.44,-0.10857,0.58563,-0.80327,zhao_uCT_match
L,4,12,106.18,-50.84,-0.17595,0.60644,-0.77542,zhao_uCT_match
L,4,13,111.54,-47.95,-0.24586,0.623,-0.74258,zhao_uCT_match
L,4,14,116.27,-44.98,-0.31305,0.6343,-0.70687,zhao_uCT_match
L,4,15,122.99,-43.0,-0.39816,0.61342,-0.68205,zhao_uCT_match
L,4,16,127.95,-40.82,-0.4654,0.5968,-0.65363,zhao_uCT_match
L,4,17,129.81,-37.05,-0.51096,0.61306,-0.60256,zhao_uCT_match
L,4,18,136.33,-35.22,-0.59093,0.56409,-0.57672,extrapolated_local_linear
L,5,2,-5.12,-71.07,0.32316,-0.02894,-0.9459,extrapolated_local_linear
L,5,3,14.01,-70.14,0.32961,0.08223,-0.94053,zhao_uCT_match
L,5,4,30.19,-69.0,0.30969,0.18018,-0.93361,zhao_uCT_match
L,5,5,41.5,-66.59,0.29761,0.26329,-0.91766,zhao_uCT_match
L,5,6,52.0,-64.67,0.2634,0.33714,-0.90386,zhao_uCT_match
L,5,7,61.9,-62.5,0.21751,0.40732,-0.88701,zhao_uCT_match
L,5,8,71.13,-59.34,0.16493,0.48251,-0.86022,zhao_uCT_match
L,5,9,78.58,-56.29,0.10988,0.54403,-0.83184,zhao_uCT_match
L,5,10,85.83,-53.33,0.04345,0.59561,-0.8021,zhao_uCT_match
L,5,11,91.73,-50.66,-0.01915,0.63364,-0.77339,zhao_uCT_match
L,5,12,97.6,-48.08,-0.08836,0.6622,-0.7441,zhao_uCT_match
L,5,13,103.14,-44.89,-0.16109,0.6899,-0.70575,zhao_uCT_match
L,5,14,108.09,-42.26,-0.22974,0.70349,-0.67254,zhao_uCT_match
L,5,15,113.29,-39.85,-0.30355,0.70517,-0.64077,zhao_uCT_match
L,5,16,119.06,-37.79,-0.38388,0.6908,-0.61272,zhao_uCT_match
L,5,17,123.45,-35.55,-0.44847,0.67881,-0.58145,zhao_uCT_match
L,5,18,128.11,-33.68,-0.51363,0.65473,-0.55454,zhao_uCT_match
L,5,19,133.4,-31.24,-0.58749,0.62117,-0.51865,zhao_uCT_match
L,5,20,138.01,-28.78,-0.65146,0.58639,-0.4814,extrapolated_local_linear
L,6,1,-19.6,-69.58,0.32868,-0.11706,-0.93716,extrapolated_local_linear
L,6,2,-2.1,-68.34,0.36887,-0.01355,-0.92938,extrapolated_local_linear
L,6,3,6.67,-66.04,0.40336,0.04716,-0.91383,zhao_uCT_match
L,6,4,25.91,-64.46,0.38779,0.18836,-0.9023,zhao_uCT_match
L,6,5,37.27,-62.48,0.36772,0.27983,-0.88684,zhao_uCT_match
